Plant ID,Length (px)
test_image_1_plant_1,354
test_image_1_plant_2,188
test_image_1_plant_3,584
test_image_1_plant_4,193
test_image_1_plant_5,403
test_image_2_plant_1,856
test_image_2_plant_2,1278
test_image_2_plant_3,862
test_image_2_plant_4,657
test_image_2_plant_5,620
test_image_3_plant_1,1099
test_image_3_plant_2,898
test_image_3_plant_3,734
test_image_3_plant_4,772
test_image_3_plant_5,1093
test_image_4_plant_1,679
test_image_4_plant_2,599
test_image_4_plant_3,542
test_image_4_plant_4,646
test_image_4_plant_5,520
test_image_5_plant_1,851
test_image_5_plant_2,693
test_image_5_plant_3,604
test_image_5_plant_4,601
test_image_5_plant_5,760
test_image_6_plant_1,0
test_image_6_plant_2,0
test_image_6_plant_3,0
test_image_6_plant_4,0
test_image_6_plant_5,0
test_image_7_plant_1,0
test_image_7_plant_2,168
test_image_7_plant_3,0
test_image_7_plant_4,178
test_image_7_plant_5,0
test_image_8_plant_1,230
test_image_8_plant_2,175
test_image_8_plant_3,264
test_image_8_plant_4,179
test_image_8_plant_5,172
test_image_9_plant_1,240
test_image_9_plant_2,242
test_image_9_plant_3,0
test_image_9_plant_4,301
test_image_9_plant_5,232
test_image_10_plant_1,224
test_image_10_plant_2,327
test_image_10_plant_3,407
test_image_10_plant_4,442
test_image_10_plant_5,346
test_image_11_plant_1,603
test_image_11_plant_2,622
test_image_11_plant_3,0
test_image_11_plant_4,695
test_image_11_plant_5,606
