Plant ID,Length (px)
test_image_1_plant_1,748.3
test_image_1_plant_2,674.84
test_image_1_plant_3,860.06
test_image_1_plant_4,623.94
test_image_1_plant_5,821.97
test_image_2_plant_1,1625.55
test_image_2_plant_2,2167.62
test_image_2_plant_3,1882.38
test_image_2_plant_4,1661.89
test_image_2_plant_5,1717.14
test_image_3_plant_1,1870.96
test_image_3_plant_2,2147.45
test_image_3_plant_3,2015.93
test_image_3_plant_4,1970.92
test_image_3_plant_5,1932.01
test_image_4_plant_1,1298.42
test_image_4_plant_2,1860.34
test_image_4_plant_3,1259.04
test_image_4_plant_4,1152.68
test_image_4_plant_5,1231.48
test_image_5_plant_1,1776.89
test_image_5_plant_2,2204.96
test_image_5_plant_3,1404.58
test_image_5_plant_4,1628.78
test_image_5_plant_5,2005.79
test_image_6_plant_1,0
test_image_6_plant_2,0
test_image_6_plant_3,0
test_image_6_plant_4,0
test_image_6_plant_5,0
test_image_7_plant_1,0
test_image_7_plant_2,201.05
test_image_7_plant_3,0
test_image_7_plant_4,228.75
test_image_7_plant_5,0
test_image_8_plant_1,433.34
test_image_8_plant_2,323.09
test_image_8_plant_3,436
test_image_8_plant_4,440.48
test_image_8_plant_5,427.07
test_image_9_plant_1,584.55
test_image_9_plant_2,530.13
test_image_9_plant_3,0
test_image_9_plant_4,618.07
test_image_9_plant_5,473.02
test_image_10_plant_1,559.65
test_image_10_plant_2,901.33
test_image_10_plant_3,1143.75
test_image_10_plant_4,928.18
test_image_10_plant_5,1437
test_image_11_plant_1,2047.7
test_image_11_plant_2,1180.71
test_image_11_plant_3,0
test_image_11_plant_4,1704.25
test_image_11_plant_5,2101.39
